Compound,Matrix,A,B,C,D,E,F,G,SD,LOD,LOR
Dichlorvos,Apple,0.00993,0.00958,0.00912,0.00953,0.01097,0.00896,0.009,7.05853080625545e-4,0.002117559241876635,0.00705853080625545
Mevinphos,Apple,0.0101,0.00974,0.00967,0.00983,0.0099,0.00896,0.00899,4.47043195952717e-4,0.001341129587858151,0.00447043195952717
"3,4 Dichloroaniline",Apple,0.00903,0.00528,0.00889,0.0066,0.00595,0.00669,0.00774,0.0014351936985581258,0.0043055810956743774,0.014351936985581258
Methacrifos,Apple,0.00948,0.00979,0.0091,0.00829,0.0094,0.00809,0.00829,6.850790708621403e-4,0.002055237212586421,0.006850790708621403
THP,Apple,0.01099,0.01128,0.01299,0.01254,0.01249,0.01343,0.01387,0.0010607342470464235,0.0031822027411392705,0.010607342470464236
2-Phenylphenol (raw),Apple,0.02016,0.01569,0.016,0.01309,0.01469,0.01736,0.01819,0.0023376259833633012,0.007012877950089903,0.023376259833633013
Diphenylamine,Apple,0.0094,0.0088,0.00877,0.00967,0.00906,0.00773,0.00847,6.359170356190155e-4,0.0019077511068570465,0.0063591703561901546
Phorate-Oxon,Apple,0.01088,0.01011,0.00992,0.00944,0.01054,0.00947,0.01016,5.269363384336909e-4,0.0015808090153010728,0.005269363384336909
Ethoprophos,Apple,0.00943,0.00849,0.00902,0.00921,0.00933,0.00856,0.00864,3.8879545362813163e-4,0.001166386360884395,0.003887954536281316
Phorate (raw),Apple,0.01138,0.0102,0.01025,0.00979,0.01141,0.00921,0.01113,8.483008226533118e-4,0.0025449024679599355,0.008483008226533117
alpha-BHC,Apple,0.00891,0.00795,0.00792,0.00887,0.00895,0.0081,0.00852,4.646862740961186e-4,0.0013940588222883558,0.004646862740961186
Hexachlorobenzene,Apple,0.01011,0.0097,0.01038,0.00987,0.00987,0.00947,0.01053,3.7447741364911893e-4,0.0011234322409473568,0.003744774136491189
Dicloran,Apple,0.01334,0.01221,0.01006,0.0118,0.01205,0.00853,0.00903,0.0018049719691795244,0.005414915907538573,0.018049719691795245
Dimethoate (raw),Apple,0.01495,0.01319,0.01493,0.01358,0.01283,0.01188,0.01217,0.00122186235683387,0.00366558707050161,0.0122186235683387
Simazine,Apple,0.00945,0.00912,0.00894,0.00985,0.01006,0.00998,0.00975,4.338092624535304e-4,0.0013014277873605912,0.004338092624535304
beta-BHC,Apple,0.00944,0.0104,0.01154,0.00994,0.01107,0.00806,0.00805,0.0013685985184713246,0.004105795555413974,0.013685985184713246
Quintozene,Apple,0.00833,0.00987,0.01069,0.00707,0.01048,0.00962,0.00759,0.0014311616992932032,0.0042934850978796095,0.014311616992932033
Lindane (gamma-BHC),Apple,0.00934,0.00923,0.00872,0.00956,0.01026,0.00801,0.00888,7.070764759607995e-4,0.0021212294278823984,0.007070764759607995
Terbufos (raw),Apple,0.00953,0.00917,0.00946,0.00879,0.00891,0.0085,0.00947,3.9709060978692544e-4,0.0011912718293607763,0.003970906097869254
Diazinon,Apple,0.00862,0.00862,0.00869,0.00678,0.01114,0.00896,0.00722,0.0014025436076744895,0.004207630823023468,0.014025436076744896
Pyrimethanil,Apple,0.00962,0.00755,0.00815,0.00843,0.00824,0.0068,0.00837,8.637680464657386e-4,0.002591304139397216,0.008637680464657385
Chlorothalonil,Apple,0.01241,0.01526,0.01601,0.0129,0.01409,0.01737,0.00941,0.002638044910986345,0.007914134732959035,0.02638044910986345
Disulfoton (raw),Apple,0.01079,0.00992,0.00853,0.00863,0.00996,0.0083,0.01106,0.0011221620288744487,0.003366486086623346,0.011221620288744488
delta-BHC,Apple,0.01146,0.01193,0.01011,0.01128,0.01188,0.01126,0.01198,6.516608817183252e-4,0.0019549826451549755,0.006516608817183252
Pirimicarb (raw),Apple,0.0109,0.00926,0.01082,0.01006,0.0111,0.00939,0.0099,7.453826118814673e-4,0.0022361478356444017,0.007453826118814674
Chlorpyrifos-methyl,Apple,0.01035,0.00824,0.01108,0.00864,0.01044,0.00871,0.0099,0.0010884348745747148,0.0032653046237241445,0.010884348745747148
Metribuzin,Apple,0.01365,0.01147,0.01458,0.00994,0.01093,0.01234,0.01087,0.00165498669250872,0.00496496007752616,0.0165498669250872
Vinclozolin,Apple,0.00773,0.00925,0.00836,0.01,0.00924,0.01098,0.00769,0.0012090058883625168,0.0036270176650875503,0.012090058883625167
Parathion-methyl,Apple,0.01347,0.01232,0.01259,0.01238,0.01458,0.01264,0.0129,8.030922380755167e-4,0.00240927671422655,0.008030922380755166
Tolclofos-methyl,Apple,0.01218,0.0109,0.00956,0.01053,0.01006,0.00974,0.01024,8.844664789470271e-4,0.0026533994368410814,0.00884466478947027
Fipronyl-desulfonyl,Apple,0.01142,0.01066,0.01187,0.01232,0.01074,0.01046,0.01155,6.91626791736424e-4,0.002074880375209272,0.00691626791736424
