Compound,Matrix,A,B,C,D,E,F,G,SD,LOD,LOR
Dichlorvos,Spinach,0.00811,0.01052,0.00906,0.00808,0.00669,0.00623,0.00699,0.0014914741828456965,0.0044744225485370895,0.014914741828456965
Mevinphos,Spinach,0.00717,0.00555,0.00591,0.00538,0.00582,0.0047,0.00474,8.375758672104476e-4,0.0025127276016313426,0.008375758672104475
"3,4 Dichloroaniline",Spinach,0.01599,0.01444,0.01535,0.0134,0.014880000000000001,0.016,0.01549,9.298284532003484e-4,0.002789485359601045,0.009298284532003483
Methacrifos,Spinach,0.01027,0.01021,0.00897,0.00925,0.01015,0.0093,0.00922,5.587443405487325e-4,0.0016762330216461975,0.005587443405487324
THP,Spinach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Phenylphenol (raw),Spinach,0.01598,0.01542,0.01707,0.01503,0.014,0.01498,0.01478,9.782418631694015e-4,0.0029347255895082044,0.009782418631694016
Diphenylamine,Spinach,0.00745,0.00768,0.00871,0.00766,0.00725,0.00698,0.00662,6.61902021234477e-4,0.001985706063703431,0.00661902021234477
Phorate-Oxon,Spinach,0.00811,0.0072,0.00684,0.00641,0.00531,0.00454,0.00347,0.001621333959899628,0.004864001879698885,0.01621333959899628
Ethoprophos,Spinach,0.01045,0.01006,0.01031,0.01029,0.00903,0.00925,0.00863,7.310429601082342e-4,0.002193128880324703,0.007310429601082342
Phorate (raw),Spinach,0.00758,0.00585,0.00661,0.008,0.00953,0.00754,0.00735,0.0011486057801070122,0.0034458173403210364,0.011486057801070123
alpha-BHC,Spinach,0.00856,0.00654,0.008,0.008,0.00801,0.00714,0.00766,6.678929198464021e-4,0.0020036787595392063,0.0066789291984640205
Hexachlorobenzene,Spinach,8.6e-4,0.01217,0.00964,0.01005,8.6e-4,0.01045,0.00899,0.004689601465451185,0.014068804396353555,0.046896014654511854
Dicloran,Spinach,0.0055,0.00488,0.00451,0.00424,0.00383,0.00349,1.3e-4,0.0017473762644387182,0.0052421287933161545,0.017473762644387183
Dimethoate (raw),Spinach,0.00808,0.01141,0.00857,0.0079,0.00382,0.00831,0.00689,0.002259106439449435,0.006777319318348305,0.02259106439449435
Simazine,Spinach,0.00577,0.00596,0.00556,0.0076,0.0069,0.00676,0.00492,9.177327134483839e-4,0.002753198140345152,0.00917732713448384
beta-BHC,Spinach,0.01021,0.00958,0.00861,0.00909,0.0097,0.00967,0.01055,6.485625130496932e-4,0.0019456875391490797,0.006485625130496932
Quintozene,Spinach,0.00746,0.0068,0.01053,0.00784,0.00854,0.00835,0.00565,0.0015273225873122828,0.004581967761936848,0.015273225873122829
Lindane (gamma-BHC),Spinach,0.01095,0.01097,0.01012,0.00941,0.00966,0.00986,0.01012,6.035687517551236e-4,0.001810706255265371,0.006035687517551236
Terbufos (raw),Spinach,0.01017,0.00871,0.00904,0.00924,0.01065,0.00864,0.0098,7.632574302041903e-4,0.002289772290612571,0.007632574302041903
Diazinon,Spinach,0.00217,0.01194,0.01082,0.01173,0.01479,0.01175,0.00937,0.003962275079991772,0.011886825239975318,0.03962275079991772
Pyrimethanil,Spinach,0.00932,0.01245,0.00846,0.00897,0.01355,0.00892,0.00989,0.0019719171237293776,0.005915751371188133,0.019719171237293776
Chlorothalonil,Spinach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Disulfoton (raw),Spinach,0.00687,0.01029,0.00704,0.00609,0.00902,0.00963,0.01067,0.001828258343732792,0.005484775031198376,0.01828258343732792
delta-BHC,Spinach,0.00767,0.00802,0.00499,0.00862,0.0061,0.00341,0.00561,0.0018613333674443984,0.005584000102333195,0.018613333674443983
Pirimicarb (raw),Spinach,0.01151,0.00905,0.01069,0.00821,0.01152,0.01136,0.00726,0.0017563002238200837,0.005268900671460251,0.017563002238200835
Chlorpyrifos-methyl,Spinach,0.00661,0.00773,0.00794,0.00662,0.00739,0.01103,0.00753,0.0014998872973533393,0.004499661892060018,0.014998872973533393
Metribuzin,Spinach,0.00691,0.00394,0.00668,0.00719,0.0042,0.00789,0.00103,0.0024491825652848418,0.007347547695854525,0.024491825652848416
Vinclozolin,Spinach,0.01308,0.00796,0.00838,0.00522,0.00677,0.00789,0.00613,0.002538250240956215,0.007614750722868645,0.025382502409562153
Parathion-methyl,Spinach,0.00694,0.00591,0.00671,0.0065,0.00695,0.00578,0.0062,4.7601520583955714e-4,0.0014280456175186714,0.0047601520583955715
