Compound,Matrix,n,Repeatability,Reproducibility,u_ref,av_bias,sd_bias,UoB,Significance,MU,pct_MU
2-Phenylphenol (raw),Avocado,21,0.002602374678683674,0.00679590197644649,0.290957186981323,103.627301587302,7.81573396134345,7.82114783386387,Significant,0.09567515329511897,127.56687106015863
2-Phenylphenol (raw),Carrot,20,0.0027350497104746564,0.0031646236442148664,0.298142396999972,99.9626666666667,4.05714409968564,4.06808396355126,Significant,0.08376377526388881,111.68503368518508
2-Phenylphenol (raw),Onion,21,0.003976527758720288,0.004881640671563036,0.290957186981323,105.388571428571,6.17163732745106,6.17849199936711,Significant,0.09250295263834138,123.33727018445518
2-Phenylphenol (raw),Orange,21,0.00402872779162946,0.005122994646655397,0.290957186981323,105.330793650794,6.42782094619958,6.4344027074048,Significant,0.09307409458276088,124.0987927770145
2-Phenylphenol (raw),Strawberries,21,0.005555800915216793,0.005555800915216793,0.290957186981323,102.827301587302,7.3977239456957,7.40344350024877,Significant,0.09283010350865915,123.77347134487887
2-Phenylphenol (raw) *,Apple,21,0.006213901849118328,0.006213901849118328,0.290957186981323,95.488253968254,8.21390525734985,8.2190568596023,Significant,0.08912174159576397,118.82898879435196
"3,4 Dichloroaniline",Apple,21,0.010206319470938441,0.01175339571716845,0.290957186981323,-16.831746031746,15.0820160610446,15.0848223241199,Insignificant,0.03262761006839933,43.50348009119911
"3,4 Dichloroaniline",Avocado,21,0.0028817727678833887,0.014730215533381169,0.290957186981323,-6.14984126984127,16.5664646022617,16.5690194490394,Insignificant,0.03854367536990224,51.39156715986966
"3,4 Dichloroaniline",Carrot,21,0.0019289005010256887,0.004371602782087338,0.290957186981323,-1.47936507936508,5.07610257525371,5.08443442667456,Insignificant,0.011602131647913252,15.469508863884336
"3,4 Dichloroaniline",Onion,21,0.0033542562395611495,0.006037286805576576,0.290957186981323,0.761904761904766,7.16652624447147,7.1724301667813,Insignificant,0.016172315094327205,21.563086792436273
"3,4 Dichloroaniline",Orange,21,0.002794324747349671,0.0032806475426841774,0.290957186981323,2.62349206349207,4.19021697610975,4.20030646400169,Insignificant,0.009096504030573025,12.128672040764034
"3,4 Dichloroaniline",Strawberries,21,0.005333502080663738,0.007326636011028201,0.290957186981323,-3.61333333333333,9.05387234526997,9.05854627018599,Insignificant,0.019983673764922633,26.644898353230175
Aldrin,Apple,19,0.004767410610443723,0.0075048308362341346,0.305887645160749,-0.595087719298242,9.0792681605614,9.0844194961949,Insignificant,0.02027251755661754,27.03002340882339
Aldrin,Avocado,18,0.01153036370108787,0.012125530107323045,0.314269680527355,-0.919999999999997,15.9380769048476,15.9411750149396,Insignificant,0.034057103641714645,45.409471522286196
Aldrin,Carrot,20,0.00656056126757904,0.007801313822882352,0.298142396999972,2.58733333333334,9.93721621978864,9.94168773839328,Insignificant,0.02158299303617896,28.777324048238615
Aldrin,Onion,21,0.00559001064825632,0.00559001064825632,0.290957186981323,3.42476190476191,7.19528152266999,7.20116186980492,Insignificant,0.015545755813389189,20.727674417852253
Aldrin,Orange,19,0.006497505400426491,0.006497505400426491,0.305887645160749,-1.98947368421052,8.1982938049658,8.20399832788882,Insignificant,0.017897147258244577,23.86286301099277
Aldrin,Strawberries,21,0.008407500336292706,0.008407500336292706,0.290957186981323,-3.13523809523809,11.0845833165522,11.0884012998377,Insignificant,0.023651378294680697,31.535171059574264
alpha-BHC,Apple,21,0.0034662241017870596,0.004271067591053426,0.290957186981323,-0.847619047619043,5.39527788830784,5.40311757939059,Insignificant,0.011775137048756877,15.700182731675836
alpha-BHC,Avocado,21,0.0032201427060953454,0.005419567407492388,0.290957186981323,5.55111111111112,6.48704600923455,6.49356774127921,Insignificant,0.014572621351741234,19.43016180232165
alpha-BHC,Carrot,21,0.0018963276958792574,0.002230847128685567,0.290957186981323,0.744761904761907,2.84799901908312,2.86282281976278,Insignificant,0.006192508640713084,8.256678187617446
alpha-BHC,Onion,18,0.0015328391750304262,0.001559235427716941,0.314269680527355,-0.38296296296296,2.06869125654058,2.09242656907864,Insignificant,0.004424468398227012,5.899291197636017
alpha-BHC,Orange,19,0.0016357169954749847,0.001657846571086944,0.305887645160749,2.40631578947369,2.2017607697771,2.22290749667894,Insignificant,0.004702317080476355,6.269756107301807
alpha-BHC,Strawberries,21,0.002624347235542281,0.002624347235542281,0.290957186981323,1.08190476190476,3.43674338282117,3.44903771565652,Insignificant,0.007369835905218055,9.826447873624074
alpha-Endosulfan,Apple,21,0.010899464745850218,0.01277392766110551,0.290957186981323,-24.0565079365079,16.3223505413824,16.3249435919523,Insignificant,0.03538822436836272,47.18429915781696
alpha-Endosulfan,Avocado,21,0.035609912722821775,0.03650436430901711,0.290957186981323,3.77269841269842,48.3177960270339,48.3186720533037,Insignificant,0.10287534257371816,137.16712343162425
alpha-Endosulfan,Carrot,19,0.009122207163930604,0.009122207163930604,0.305887645160749,-13.9298245614035,11.9774676043989,11.9813729374345,Insignificant,0.025609638292348347,34.146184389797796
alpha-Endosulfan,Onion,21,0.014731999400936934,0.01474346508067333,0.290957186981323,2.18095238095239,19.6533684176207,19.6555220292768,Insignificant,0.04169823772520552,55.597650300274026
alpha-Endosulfan,Orange,21,0.016550553340387623,0.016550553340387623,0.290957186981323,-5.14857142857143,20.9991996824066,21.0012152835555,Insignificant,0.04569516507368274,60.92688676491033
alpha-Endosulfan,Strawberries,16,0.004500115582561221,0.004500115582561221,0.333333333333333,-18.37,5.94742097856678,5.95675477146805,Significant,0.02645980056781134,35.279734090415126
Azinphos-ethyl,Apple,21,0.003182805491017437,0.0049157987012029185,0.290957186981323,0.547936507936512,5.95608059756213,5.96318305683401,Insignificant,0.013291700412811963,17.72226721708262
Azinphos-ethyl,Avocado,21,0.006114570290811102,0.02582219573384506,0.290957186981323,-11.7257142857143,29.1499249692737,29.1513770137697,Insignificant,0.06766978224522109,90.22637632696146
Azinphos-ethyl,Carrot,21,0.002891006854872638,0.004238253795856875,0.290957186981323,0.881904761904766,5.17795890411448,5.18612711928222,Insignificant,0.011505085335251906,15.340113780335875
Azinphos-ethyl,Onion,21,0.003161994297355381,0.003942416555783992,0.290957186981323,-4.31365079365079,4.96732723848348,4.97584123328267,Insignificant,0.010857178922245865,14.476238562994487
Azinphos-ethyl,Orange,21,0.005255885891829894,0.006459817608680217,0.290957186981323,-6.69714285714285,8.16472318954567,8.16990580402007,Insignificant,0.017807260767855954,23.743014357141274
Azinphos-ethyl,Strawberries,21,0.004536642349747647,0.007245231366286403,0.290957186981323,-5.07619047619047,8.73508393941189,8.73992834714493,Insignificant,0.019540798144109753,26.054397525479672
Azinphos-methyl,Apple,19,0.004130609432724706,0.006003240442729013,0.305887645160749,-0.0322807017543823,7.35343818573305,7.35979757893239,Insignificant,0.016310440802115123,21.747254402820165
Azinphos-methyl,Avocado,21,0.007937391619057599,0.03762706853309939,0.290957186981323,-6.44698412698412,42.3731163449547,42.3741152694393,Insignificant,0.09850486204513269,131.33981606017693
Azinphos-methyl,Carrot,17,0.003982899501038678,0.004479134893992696,0.323380833381777,-3.1035294117647,5.78701905496117,5.79604733468269,Insignificant,0.01248348782122076,16.644650428294348
Azinphos-methyl,Onion,17,0.00287643746968482,0.004711171215642775,0.323380833381777,-16.5905882352941,5.67799214258367,5.68719350247911,Significant,0.025153366788752227,33.53782238500297
Azinphos-methyl,Orange,21,0.009938315624909357,0.0132251326652554,0.290957186981323,-17.3720634920635,16.441893864833,16.4444680651911,Insignificant,0.03616714985225369,48.22286646967159
Azinphos-methyl,Strawberries,19,0.006471102081010395,0.009760435292715409,0.305887645160749,-6.05403508771929,11.8843733677624,11.8883092824775,Insignificant,0.0264397647115813,35.25301961544173
