Compound,Matrix,n,Repeatability,Reproducibility,Precision
Dichlorvos,Apple,21,0.0022818528394601533,0.003346107699207222,0.006692215398414444
Mevinphos,Apple,18,0.0018944196078993752,0.002012442996004925,0.00402488599200985
"3,4 Dichloroaniline",Apple,21,0.010206319470938441,0.01175339571716845,0.0235067914343369
Methacrifos,Apple,21,0.0025336669579816965,0.0062470455057587315,0.012494091011517463
THP,Apple,21,0.0030062350550729014,0.003782476513004214,0.007564953026008428
2-Phenylphenol (raw) *,Apple,21,0.006213901849118328,0.006213901849118328,0.012427803698236655
Diphenylamine,Apple,18,0.0022644578874003174,0.002473025533836088,0.004946051067672176
Phorate-Oxon,Apple,21,0.0021716872235258396,0.0030570733191913357,0.006114146638382671
Ethoprophos,Apple,21,0.002333135365751552,0.0028794341139061538,0.0057588682278123075
Phorate (raw),Apple,21,0.002232282624195628,0.006215898203493239,0.012431796406986478
alpha-BHC,Apple,21,0.0034662241017870596,0.004271067591053426,0.008542135182106851
Hexachlorobenzene,Apple,21,0.002704048698725549,0.004139606195736772,0.008279212391473544
Dicloran,Apple,21,0.004326841657624964,0.004357562196838932,0.008715124393677864
Dimethoate (raw),Apple,21,0.004773484468211247,0.00746378016059653,0.01492756032119306
Simazine,Apple,15,7.735959503800743e-4,8.643431353088626e-4,0.0017286862706177252
beta-BHC,Apple,21,0.002034038129217617,0.003177288344562044,0.006354576689124088
Quintozene,Apple,21,0.00343661955535581,0.004882591524999809,0.009765183049999617
Lindane (gamma-BHC),Apple,20,0.0028840031847672935,0.003474473254013783,0.006948946508027566
Terbufos (raw),Apple,21,0.0027561455141625027,0.00396717818116207,0.00793435636232414
Diazinon,Apple,21,0.0030539615178290873,0.005093536587282589,0.010187073174565178
Pyrimethanil,Apple,21,0.0019231187467979485,0.00338540635529565,0.0067708127105913
Chlorothalonil,Apple,16,0.004870526349695374,0.006341889336117628,0.012683778672235257
Disulfoton (raw),Apple,21,0.0039078758489483265,0.005479124886677566,0.010958249773355131
delta-BHC,Apple,21,0.002238469573558244,0.0034971747586468997,0.006994349517293799
Pirimicarb (raw),Apple,21,0.0027795854435680215,0.003208222959493794,0.006416445918987588
Chlorpyrifos-methyl,Apple,21,0.0026579446648246513,0.006109620661370908,0.012219241322741816
Metribuzin,Apple,20,0.004283323976272908,0.004283323976272908,0.008566647952545817
Vinclozolin,Apple,21,0.0034948651675969574,0.0061993191967667964,0.012398638393533593
Parathion-methyl,Apple,21,0.0031347765166792694,0.004710339546089622,0.009420679092179245
Tolclofos-methyl,Apple,21,0.003190305503607642,0.004296510449285128,0.008593020898570256
Fipronyl-desulfonyl,Apple,21,0.003411559248780024,0.006111365513154501,0.012222731026309002
Heptachlor (raw),Apple,20,0.003256608708474511,0.004407324401601536,0.008814648803203071
Metalaxyl,Apple,21,0.0032525079456486917,0.0038936865870399908,0.0077873731740799815
Fenthion-oxon,Apple,18,0.002535076010882589,0.002535076010882589,0.005070152021765178
Pirimiphos-methyl,Apple,19,0.0041099387812611335,0.005950265965929152,0.011900531931858305
Fenitrothion,Apple,19,0.0033888538939124656,0.004187214059837952,0.008374428119675904
Linuron (raw),Apple,21,0.005102789775413396,0.006021672028067077,0.012043344056134154
Malathion,Apple,21,0.0021460391718195948,0.0026642770330510936,0.005328554066102187
"o,p-Dicofol",Apple,20,0.0029048829508231846,0.003446964826895855,0.00689392965379171
Chlorpyrifos,Apple,21,0.0032606518970369654,0.005604318548633519,0.011208637097267039
Aldrin,Apple,19,0.004767410610443723,0.0075048308362341346,0.015009661672468269
Fenthion (raw),Apple,21,0.002539693457317795,0.0035705859005868085,0.007141171801173617
Chlorthal-dimethyl,Apple,21,0.0025300765406578722,0.0057677155665950474,0.011535431133190095
Phorate-sulfoxide,Apple,19,0.0017519899825083284,0.0017519899825083284,0.003503979965016657
Parathion (ethyl),Apple,21,0.0038370538880347364,0.007410868328863694,0.014821736657727388
Triadimefon,Apple,20,0.0029031056248279286,0.0038949007735389458,0.0077898015470778915
Phorate-sulfone,Apple,21,0.002281601011264496,0.002281601011264496,0.004563202022528992
Dicofol (raw),Apple,21,0.0035839580850723636,0.0036260687845009196,0.007252137569001839
