"","Compound","Matrix","n","u_ref","av_bias","sd_bias","UoB","Significance"
"1","2-Aminobenzimidazole","Apple",21,0.290957186981323,-0.950681902191291,7.01552042221768,7.02155131571431,"Insignificant"
"2","2-Aminobenzimidazole","Avocado",21,0.290957186981323,6.67035206694496,7.9584235288538,7.9637403994147,"Insignificant"
"3","2-Aminobenzimidazole","Carrot",21,0.290957186981323,-2.27425348465557,7.0330954064338,7.0391112422419,"Insignificant"
"4","2-Aminobenzimidazole","Onion",21,0.290957186981323,6.0237399162541,9.80748160693156,9.81179655083394,"Insignificant"
"5","2-Aminobenzimidazole","Orange",19,0.305887645160749,2.39222352749006,4.94646251943761,4.95591149110465,"Insignificant"
"6","2-Aminobenzimidazole","Spinach",21,0.290957186981323,5.41679659962153,7.79486557770504,7.80029393415062,"Insignificant"
"7","2-Aminobenzimidazole","Strawberry",21,0.290957186981323,1.52108622729509,8.02258156451992,8.02785594315387,"Insignificant"
"8","Acephate","Apple",21,0.290957186981323,-2.72778660242525,8.25002166311286,8.25515072706051,"Insignificant"
"9","Acephate","Avocado",21,0.290957186981323,3.26771095146844,8.63341533747982,8.63831676162017,"Insignificant"
"10","Acephate","Carrot",21,0.290957186981323,2.34011495049528,6.23814732052705,6.24492898896816,"Insignificant"
"11","Acephate","Onion",21,0.290957186981323,-3.04835795944966,6.52335452691109,6.52983999562221,"Insignificant"
"12","Acephate","Orange",18,0.314269680527355,2.3119106018727,3.45804076634826,3.47229194824185,"Insignificant"
"13","Acephate","Spinach",21,0.290957186981323,2.84491215050493,6.10419414958728,6.11112447103736,"Insignificant"
"14","Acephate","Strawberry",21,0.290957186981323,-2.33878759880194,7.31056913672845,7.31635682478258,"Insignificant"
"15","Azinphos-methyl","Apple",21,0.290957186981323,4.35344107647955,5.82034934092917,5.82761722620066,"Insignificant"
"16","Azinphos-methyl","Avocado",21,0.290957186981323,3.78938739929381,5.3543417539579,5.36224129472304,"Insignificant"
"17","Azinphos-methyl","Carrot",21,0.290957186981323,4.31964648334638,6.5853986216663,6.59182304760227,"Insignificant"
"18","Azinphos-methyl","Onion",19,0.305887645160749,1.40791782512612,5.32715318674634,5.33592806609344,"Insignificant"
"19","Azinphos-methyl","Orange",20,0.298142396999972,0.0649694443721241,5.5367332098907,5.5447545956873,"Insignificant"
"20","Azinphos-methyl","Spinach",21,0.290957186981323,-1.43765880828394,5.15255082676392,5.16075925683824,"Insignificant"
"21","Azinphos-methyl","Strawberry",21,0.290957186981323,-0.666421016913538,5.79620947082145,5.80350758716627,"Insignificant"
"22","Azoxystrobin","Apple",21,0.290957186981323,1.44793009162195,7.47368045575342,7.47934192555513,"Insignificant"
"23","Azoxystrobin","Avocado",21,0.290957186981323,4.1498686936812,4.67473837671564,4.68378425798991,"Insignificant"
"24","Azoxystrobin","Carrot",18,0.314269680527355,6.03735571618332,3.12768048425671,3.14342975803485,"Insignificant"
"25","Azoxystrobin","Onion",21,0.290957186981323,0.395177830480292,5.30520703943671,5.31317963332174,"Insignificant"
"26","Azoxystrobin","Orange",21,0.290957186981323,4.0895763618729,4.75467819138021,4.763572271756,"Insignificant"
"27","Azoxystrobin","Spinach",20,0.298142396999972,1.88479171975534,3.74453181281676,3.75638222044637,"Insignificant"
"28","Azoxystrobin","Strawberry",19,0.305887645160749,-0.987503346446753,3.88772054097162,3.8997356649079,"Insignificant"
"29","Benalaxyl","Apple",21,0.290957186981323,-0.978450185404497,6.03121211181959,6.03822619834794,"Insignificant"
"30","Benalaxyl","Avocado",21,0.290957186981323,6.17576004916911,5.36543939255222,5.37332261825095,"Insignificant"
"31","Benalaxyl","Carrot",18,0.314269680527355,0.377663192260255,3.61153882430698,3.62518663127505,"Insignificant"
"32","Benalaxyl","Onion",21,0.290957186981323,-1.08567565676738,3.50237601736116,3.5144407594442,"Insignificant"
"33","Benalaxyl","Orange",19,0.305887645160749,5.93969362527956,3.09134106203827,3.10643796224967,"Insignificant"
"34","Benalaxyl","Spinach",21,0.290957186981323,1.4247618773097,3.9449889661215,3.95570398633119,"Insignificant"
"35","Benalaxyl","Strawberry",21,0.290957186981323,-2.80195700515828,3.79822557650549,3.80935343787847,"Insignificant"
"36","Bifenthrin","Apple",21,0.290957186981323,-1.18595650297948,7.1345956543139,7.14052597749009,"Insignificant"
"37","Bifenthrin","Avocado",18,0.314269680527355,1.40280072500818,3.20620291731217,3.22156834151936,"Insignificant"
"38","Bifenthrin","Carrot",21,0.290957186981323,2.27022663313691,5.81847065533324,5.82574088435369,"Insignificant"
"39","Bifenthrin","Onion",21,0.290957186981323,0.192953913185714,7.43912615521617,7.44481390216555,"Insignificant"
"40","Bifenthrin","Orange",19,0.305887645160749,-2.12930806075487,12.9928931693476,12.996493379429,"Insignificant"
"41","Bifenthrin","Spinach",18,0.314269680527355,3.08367355169729,4.21314549220792,4.22485033706647,"Insignificant"
"42","Bifenthrin","Strawberry",20,0.298142396999972,-0.822462392517684,3.60890132468207,3.62119561197416,"Insignificant"
"43","Bitertanol","Apple",19,0.305887645160749,1.78357017353827,11.6154112503468,11.6194382724013,"Insignificant"
"44","Bitertanol","Avocado",19,0.305887645160749,0.191870668926405,9.06887238442229,9.07402962175015,"Insignificant"
"45","Bitertanol","Carrot",21,0.290957186981323,2.37538853732531,12.3530412328896,12.3564672858437,"Insignificant"
"46","Bitertanol","Onion",19,0.305887645160749,-9.90894843136553,8.09220538597597,8.09798464188964,"Insignificant"
"47","Bitertanol","Orange",21,0.290957186981323,6.52543577273578,12.132249764407,12.135738149392,"Insignificant"
"48","Bitertanol","Spinach",19,0.305887645160749,-2.46292862709256,10.7383791740971,10.7427349654613,"Insignificant"
