Compound,Matrix,n,Repeatability,Reproducibility,u_ref,av_bias,sd_bias,UoB,Significance,MU,pct_MU
2-Aminobenzimidazole,Apple,21,0.005024839065068352,0.005359924910586121,0.290957186981323,-0.950681902191291,7.01552042221768,7.02155131571431,Insignificant,0.015028143320673634,20.037524427564847
2-Aminobenzimidazole,Avocado,21,0.005079023975149041,0.0063118752858405775,0.290957186981323,6.67035206694496,7.9584235288538,7.9637403994147,Insignificant,0.017379778223034877,23.173037630713168
2-Aminobenzimidazole,Carrot,21,0.005308310455818771,0.005308310455818771,0.290957186981323,-2.27425348465557,7.0330954064338,7.0391112422419,Insignificant,0.014973245657268042,19.964327543024055
2-Aminobenzimidazole,Onion,21,0.005877787922911132,0.007904835675713966,0.290957186981323,6.0237399162541,9.80748160693156,9.81179655083394,Insignificant,0.0215999131766499,28.799884235533202
2-Aminobenzimidazole,Orange,19,0.0036784737299773345,0.003722977547990515,0.305887645160749,2.39222352749006,4.94646251943761,4.95591149110465,Insignificant,0.010521626746069634,14.02883566142618
2-Aminobenzimidazole,Spinach,21,0.005934735782659999,0.005934735782659999,0.290957186981323,5.41679659962153,7.79486557770504,7.80029393415062,Insignificant,0.016666873507740456,22.22249801032061
2-Aminobenzimidazole,Strawberry,21,0.0061787412594301585,0.0061787412594301585,0.290957186981323,1.52108622729509,8.02258156451992,8.02785594315387,Insignificant,0.017254330878159484,23.00577450421265
Acephate,Apple,21,0.00623444913364018,0.00623444913364018,0.290957186981323,-2.72778660242525,8.25002166311286,8.25515072706051,Insignificant,0.017572857748083676,23.430476997444902
Acephate,Avocado,21,0.006444929935030835,0.0064879321941166265,0.290957186981323,3.26771095146844,8.63341533747982,8.63831676162017,Insignificant,0.018337644851193893,24.45019313492519
Acephate,Carrot,21,0.004753868700285043,0.004753868700285043,0.290957186981323,2.34011495049528,6.23814732052705,6.24492898896816,Insignificant,0.013347101975785706,17.796135967714278
Acephate,Onion,21,0.0038860986737144533,0.00526527477427991,0.290957186981323,-3.04835795944966,6.52335452691109,6.52983999562221,Insignificant,0.014381578394725496,19.175437859633995
Acephate,Orange,18,0.002313765962341456,0.002701562043141435,0.314269680527355,2.3119106018727,3.45804076634826,3.47229194824185,Insignificant,0.007504770181882772,10.006360242510363
Acephate,Spinach,21,0.004821623423929574,0.004821623423929574,0.290957186981323,2.84491215050493,6.10419414958728,6.11112447103736,Insignificant,0.013304899659332143,17.73986621244286
Acephate,Strawberry,21,0.00464649265602279,0.005804618686828076,0.290957186981323,-2.33878759880194,7.31056913672845,7.31635682478258,Insignificant,0.01597544415876647,21.300592211688627
Azinphos-methyl,Apple,21,0.004004123810317036,0.004511194034506412,0.290957186981323,4.35344107647955,5.82034934092917,5.82761722620066,Insignificant,0.012562484315288277,16.749979087051035
Azinphos-methyl,Avocado,21,0.003129086099872018,0.004340662365370528,0.290957186981323,3.78938739929381,5.3543417539579,5.36224129472304,Insignificant,0.011834739980749494,15.779653307665992
Azinphos-methyl,Carrot,21,0.0042487429263525535,0.0052069541075569865,0.290957186981323,4.31964648334638,6.5853986216663,6.59182304760227,Insignificant,0.014360249972314004,19.14699996308534
Azinphos-methyl,Onion,19,0.0030977930588725238,0.0043178260955857705,0.305887645160749,1.40791782512612,5.32715318674634,5.33592806609344,Insignificant,0.011774411981137916,15.699215974850555
Azinphos-methyl,Orange,20,0.002933128312931173,0.004573385296782462,0.298142396999972,0.0649694443721241,5.5367332098907,5.5447545956873,Insignificant,0.012362770531951717,16.48369404260229
Azinphos-methyl,Spinach,21,0.003779048620264432,0.0039004260244042753,0.290957186981323,-1.43765880828394,5.15255082676392,5.16075925683824,Insignificant,0.010989928294954618,14.653237726606159
Azinphos-methyl,Strawberry,21,0.003843599225059122,0.004545924136490707,0.290957186981323,-0.666421016913538,5.79620947082145,5.80350758716627,Insignificant,0.012587425500319046,16.783234000425395
Azoxystrobin,Apple,21,0.005757797889289235,0.005757797889289235,0.290957186981323,1.44793009162195,7.47368045575342,7.47934192555513,Insignificant,0.01607716381468415,21.436218419578864
Azoxystrobin,Avocado,21,0.003447986811869914,0.003530647291845557,0.290957186981323,4.1498686936812,4.67473837671564,4.68378425798991,Insignificant,0.009961024540292136,13.281366053722849
Azoxystrobin,Carrot,18,0.0020398377234698267,0.0024620345396892595,0.314269680527355,6.03735571618332,3.12768048425671,3.14342975803485,Insignificant,0.006817554198304142,9.090072264405523
Azoxystrobin,Onion,21,0.004103348651952772,0.004103348651952772,0.290957186981323,0.395177830480292,5.30520703943671,5.31317963332174,Insignificant,0.011439716155735972,15.25295487431463
Azoxystrobin,Orange,21,0.0036314634078239683,0.0036314634078239683,0.290957186981323,4.0895763618729,4.75467819138021,4.763572271756,Insignificant,0.010188535356124734,13.584713808166313
Azoxystrobin,Spinach,20,0.002906178254191326,0.002906178254191326,0.298142396999972,1.88479171975534,3.74453181281676,3.75638222044637,Insignificant,0.008095177873229888,10.793570497639852
Azoxystrobin,Strawberry,19,0.002744926124721753,0.00298480850300256,0.305887645160749,-0.987503346446753,3.88772054097162,3.8997356649079,Insignificant,0.00835788180550153,11.143842407335372
Benalaxyl,Apple,21,0.004558979762455439,0.004558979762455439,0.290957186981323,-0.978450185404497,6.03121211181959,6.03822619834794,Insignificant,0.012851948531189645,17.13593137491953
Benalaxyl,Avocado,21,0.003054293020158439,0.0043743741468883855,0.290957186981323,6.17576004916911,5.36543939255222,5.37332261825095,Insignificant,0.011895542762624505,15.86072368349934
Benalaxyl,Carrot,18,0.002705675167466034,0.0027098943812180016,0.314269680527355,0.377663192260255,3.61153882430698,3.62518663127505,Insignificant,0.007677471001604116,10.236628002138822
Benalaxyl,Onion,21,0.0021864580568835145,0.0027943320422334356,0.290957186981323,-1.08567565676738,3.50237601736116,3.5144407594442,Insignificant,0.00768268035357492,10.24357380476656
Benalaxyl,Orange,19,0.0022868735773372306,0.002331696247265393,0.305887645160749,5.93969362527956,3.09134106203827,3.10643796224967,Insignificant,0.006592392008063864,8.789856010751818
Benalaxyl,Spinach,21,0.0030793470753805023,0.0030793470753805023,0.290957186981323,1.4247618773097,3.9449889661215,3.95570398633119,Insignificant,0.00855199393150158,11.40265857533544
Benalaxyl,Strawberry,21,0.0029437580584670184,0.0029437580584670184,0.290957186981323,-2.80195700515828,3.79822557650549,3.80935343787847,Insignificant,0.008204449199073647,10.939265598764862
Bifenthrin,Apple,21,0.004452789690013017,0.005692655696489389,0.290957186981323,-1.18595650297948,7.1345956543139,7.14052597749009,Insignificant,0.015631580719630268,20.84210762617369
Bifenthrin,Avocado,18,0.002509317148286321,0.002509317148286321,0.314269680527355,1.40280072500818,3.20620291731217,3.22156834151936,Insignificant,0.006966944883208473,9.289259844277964
Bifenthrin,Carrot,21,0.00392465096691524,0.004539091691358261,0.290957186981323,2.27022663313691,5.81847065533324,5.82574088435369,Insignificant,0.012600664325598003,16.800885767464006
Bifenthrin,Onion,21,0.005190581743196299,0.005737899652915083,0.290957186981323,0.192953913185714,7.43912615521617,7.44481390216555,Insignificant,0.016012519829586982,21.35002643944931
Bifenthrin,Orange,19,0.007365722370812125,0.01058760702790815,0.305887645160749,-2.12930806075487,12.9928931693476,12.996493379429,Insignificant,0.028782539510493324,38.37671934732444
Bifenthrin,Spinach,18,0.002782867595715161,0.0033042687519721195,0.314269680527355,3.08367355169729,4.21314549220792,4.22485033706647,Insignificant,0.0091560815185816,12.208108691442133
Bifenthrin,Strawberry,20,0.002651442178273772,0.002729811969757046,0.298142396999972,-0.822462392517684,3.60890132468207,3.62119561197416,Insignificant,0.007701420212942702,10.268560283923604
Bitertanol,Apple,19,0.008649545487446533,0.008737537483020209,0.305887645160749,1.78357017353827,11.6154112503468,11.6194382724013,Insignificant,0.024681040760927336,32.90805434790312
Bitertanol,Avocado,19,0.0060461891256209065,0.007095722599669582,0.305887645160749,0.191870668926405,9.06887238442229,9.07402962175015,Insignificant,0.01966361226714829,26.218149689531053
