Compound,Apple,Avocado,Carrot,Onion,Orange,Spinach,Strawberry
2-Aminobenzimidazole,99,106.7,97.7,106,104.3,105.4,101.5
Acephate,97.3,103.3,102.3,97,103.5,102.8,97.7
Azinphos-methyl,104.4,103.8,104.3,103.1,100.9,98.6,99.3
Azoxystrobin,101.4,104.1,105.6,100.4,104.1,102.4,99.2
Benalaxyl,99,106.2,100.9,98.9,105,101.4,97.2
Bifenthrin,98.8,100,102.3,100.2,101.8,103.9,98.7
Bitertanol,105.1,103.3,102.4,92.5,106.5,97.7,104.6
Boscalid,101.5,105,99,97.2,100.2,100.1,96.9
Buprofezin,101.4,104,102,99.3,104.5,100,99.8
Carbaryl,99.6,104.5,100.4,98.2,100.2,99.4,98.2
Carbendazim,97.3,101.9,99.5,101.2,101.4,101.3,102
Chlorantraniliprole,99.7,104.9,100.3,103.1,99.9,101.3,99.7
Chlorpyrifos,100.8,102.4,99.8,99.9,100.9,99.3,99.6
Cinerin1,99.9,108.1,102,98.8,98.6,99.7,96.8
Cinerin2,94,105.1,96.9,101,105.4,102.1,98.2
Clofentezine,96.2,105.2,99.3,96.6,103.8,98.1,100.8
Cyproconazole,98.5,105,99.5,100.4,100.1,101.8,100.2
Cyprodinil,99.3,102.7,95.9,99.3,102.8,101.5,97.7
Demeton S-methyl,102,105.7,101.3,100.3,101.3,99.9,98.7
Demeton-S,100.9,107.3,103.7,99.7,98.4,98.4,97.5
Demeton-S methyl Sulfone,103.5,109.7,94.9,102,102.8,101.8,97.9
Demeton-S methyl Sulfoxide,98.1,105.6,105,100.2,102.9,102.4,100.1
Diazinon,100.7,104.6,97.2,96.2,99.7,99,95.6
Difenoconazole,103.1,102.6,100.3,99.4,102.9,99.9,99.6
Dimethoate,99.8,101.8,97.2,98.8,101.6,102.9,96
Dimethomorph,99.5,105.7,101,100.6,100.6,101.1,99.2
Disulfoton Sulfone,100.8,105.8,100.1,99.6,103.7,102.8,98.3
Disulfoton Sulfoxide,100.1,104.5,99.9,99.4,100.1,98.9,100.5
Diuron,98.9,102.1,99.3,98.5,99.4,100.5,100.7
Ethoprophos,101.2,104.5,99.7,98.5,101.5,100.9,97.1
Fenamiphos,105.1,103.2,102.9,99.2,105.1,101.1,102.7
Fenamiphos Sulfone,92.1,92.8,94.9,92.1,101.7,91.2,99.1
Fenamiphos Sulfoxide,98.8,97.6,99.6,97.5,104.9,101.6,102.3
Fenarimol,105.7,103.2,99.4,101.2,105,101.4,100.2
Fenhexamid,101.3,103.5,103.5,100.1,101,97.4,106.1
Fenoxycarb,99.9,107.3,102.4,100.4,104,99.8,100.4
Fenpyroximate,100.2,103.2,102.2,101.3,101.2,103.1,102.2
