"","Compound","Matrix","n","u_ref","av_bias","sd_bias","UoB","Significance"
"1","2-Phenylphenol (raw)","Avocado",21,0.290957186981323,103.627301587302,7.81573396134345,7.82114783386387,"Significant"
"2","2-Phenylphenol (raw)","Carrot",20,0.298142396999972,99.9626666666667,4.05714409968564,4.06808396355126,"Significant"
"3","2-Phenylphenol (raw)","Onion",21,0.290957186981323,105.388571428571,6.17163732745106,6.17849199936711,"Significant"
"4","2-Phenylphenol (raw)","Orange",21,0.290957186981323,105.330793650794,6.42782094619958,6.4344027074048,"Significant"
"5","2-Phenylphenol (raw)","Spinach",14,0.356348322549899,103.348571428571,6.33737923592833,6.34738999171783,"Significant"
"6","2-Phenylphenol (raw)","Strawberries",21,0.290957186981323,102.827301587302,7.3977239456957,7.40344350024877,"Significant"
"7","2-Phenylphenol (raw) *","Apple",21,0.290957186981323,95.488253968254,8.21390525734985,8.2190568596023,"Significant"
"8","3,4 Dichloroaniline","Apple",21,0.290957186981323,-16.831746031746,15.0820160610446,15.0848223241199,"Insignificant"
"9","3,4 Dichloroaniline","Avocado",21,0.290957186981323,-6.14984126984127,16.5664646022617,16.5690194490394,"Insignificant"
"10","3,4 Dichloroaniline","Carrot",21,0.290957186981323,-1.47936507936508,5.07610257525371,5.08443442667456,"Insignificant"
"11","3,4 Dichloroaniline","Onion",21,0.290957186981323,0.761904761904766,7.16652624447147,7.1724301667813,"Insignificant"
"12","3,4 Dichloroaniline","Orange",21,0.290957186981323,2.62349206349207,4.19021697610975,4.20030646400169,"Insignificant"
"13","3,4 Dichloroaniline","Spinach",14,0.356348322549899,4.7304761904762,4.98263700771705,4.99536341797628,"Insignificant"
"14","3,4 Dichloroaniline","Strawberries",21,0.290957186981323,-3.61333333333333,9.05387234526997,9.05854627018599,"Insignificant"
"15","Aldrin","Apple",19,0.305887645160749,-0.595087719298242,9.0792681605614,9.0844194961949,"Insignificant"
"16","Aldrin","Avocado",18,0.314269680527355,-0.919999999999997,15.9380769048476,15.9411750149396,"Insignificant"
"17","Aldrin","Carrot",20,0.298142396999972,2.58733333333334,9.93721621978864,9.94168773839328,"Insignificant"
"18","Aldrin","Onion",21,0.290957186981323,3.42476190476191,7.19528152266999,7.20116186980492,"Insignificant"
"19","Aldrin","Orange",19,0.305887645160749,-1.98947368421052,8.1982938049658,8.20399832788882,"Insignificant"
"20","Aldrin","Spinach",14,0.356348322549899,7.21904761904762,12.0853825267581,12.0906350100007,"Insignificant"
"21","Aldrin","Strawberries",21,0.290957186981323,-3.13523809523809,11.0845833165522,11.0884012998377,"Insignificant"
"22","alpha-BHC","Apple",21,0.290957186981323,-0.847619047619043,5.39527788830784,5.40311757939059,"Insignificant"
