Compound,Matrix,Repeatability,Reproducibility
Dichlorvos,Apple,0.0022818528394601533,0.003346107699207222
Mevinphos,Apple,0.00237848157511775,0.002893844158486329
"3,4 Dichloroaniline",Apple,0.010206319470938441,0.01175339571716845
Methacrifos,Apple,0.0025336669579816965,0.0062470455057587315
THP,Apple,0.0030062350550729014,0.003782476513004214
2-Phenylphenol (raw) *,Apple,0.006213901849118328,NaN
Diphenylamine,Apple,0.0031708491176629847,0.004056423561321417
Phorate-Oxon,Apple,0.0021716872235258396,0.0030570733191913357
Ethoprophos,Apple,0.002333135365751552,0.0028794341139061538
Phorate (raw),Apple,0.002232282624195628,0.006215898203493239
alpha-BHC,Apple,0.0034662241017870596,0.004271067591053426
Hexachlorobenzene,Apple,0.002704048698725549,0.004139606195736772
Dicloran,Apple,0.004326841657624964,0.004357562196838932
Dimethoate (raw),Apple,0.004773484468211247,0.00746378016059653
Simazine,Apple,0.0023178814903214075,0.0023993262943306924
beta-BHC,Apple,0.002034038129217617,0.003177288344562044
Quintozene,Apple,0.00343661955535581,0.004882591524999809
Lindane (gamma-BHC),Apple,0.003657011964423481,0.004049300687084344
Terbufos (raw),Apple,0.0027561455141625027,0.00396717818116207
Diazinon,Apple,0.0030539615178290873,0.005093536587282589
Pyrimethanil,Apple,0.0019231187467979485,0.00338540635529565
Chlorothalonil,Apple,0.01192317018672413,0.019181066291570775
Disulfoton (raw),Apple,0.0039078758489483265,0.005479124886677566
delta-BHC,Apple,0.002238469573558244,0.0034971747586468997
Pirimicarb (raw),Apple,0.0027795854435680215,0.003208222959493794
Chlorpyrifos-methyl,Apple,0.0026579446648246513,0.006109620661370908
Metribuzin,Apple,0.005090187104803196,NaN
Vinclozolin,Apple,0.0034948651675969574,0.0061993191967667964
Parathion-methyl,Apple,0.0031347765166792694,0.004710339546089622
Tolclofos-methyl,Apple,0.003190305503607642,0.004296510449285128
Fipronyl-desulfonyl,Apple,0.003411559248780024,0.006111365513154501
Heptachlor (raw),Apple,0.003496073534514134,0.004996284333668083
Metalaxyl,Apple,0.0032525079456486917,0.0038936865870399908
Fenthion-oxon,Apple,0.003511625364188598,0.003664343172296195
Pirimiphos-methyl,Apple,0.005215990371497586,0.008442375459629862
Fenitrothion,Apple,0.004849531314287385,0.005680613589067581
Linuron (raw),Apple,0.005102789775413396,0.006021672028067077
Malathion,Apple,0.0021460391718195948,0.0026642770330510936
"o,p-Dicofol",Apple,0.003044598130751872,0.00386556883899118
Chlorpyrifos,Apple,0.0032606518970369654,0.005604318548633519
Aldrin,Apple,0.005458560191577938,0.009724561651803533
Fenthion (raw),Apple,0.002539693457317795,0.0035705859005868085
Chlorthal-dimethyl,Apple,0.0025300765406578722,0.0057677155665950474
Phorate-sulfoxide,Apple,0.002234291194732042,NaN
Parathion (ethyl),Apple,0.0038370538880347364,0.007410868328863694
Triadimefon,Apple,0.0034122175445637343,0.004467271534839401
Phorate-sulfone,Apple,0.002281601011264496,NaN
Dicofol (raw),Apple,0.0035839580850723636,0.0036260687845009196
Pendimethalin,Apple,0.004513476997080478,0.005863521903740639
Cyprodinil,Apple,0.003226100402889498,0.004239657603939189
Fipronil-sulfide,Apple,0.002496331276347317,0.0044879211283646355
Fipronil (raw),Apple,0.004791539335782314,0.009698951096946119
Heptachlor-exo-epoxide,Apple,0.004613113468473957,0.007188002049901461
Heptachlor-endo-epoxide,Apple,0.007149136366978243,NaN
Captan (raw),Apple,0.008072774743760164,0.01211918816458873
Procymidone,Apple,0.003049570357456829,0.0033658999261601923
Trifloxystrobin Metabolite,Apple,0.005698984454227246,NaN
Bromophos-ethyl,Apple,0.0036411804731563647,NaN
Methidathion,Apple,0.0028275739783734386,0.005234591317237997
Chlordane-trans,Apple,0.004525531451734143,NaN
Paclobutrazol,Apple,0.003411860498832282,0.0036964836204780613
Chlordane-cis,Apple,0.0044410750521746015,NaN
alpha-Endosulfan,Apple,0.010899464745850218,0.01277392766110551
Fenamiphos (raw),Apple,0.005388920438461071,NaN
Hexaconazole,Apple,0.005925471918785665,0.006354170787329987
Prothiofos,Apple,0.003577825445802916,NaN
Fludioxonil,Apple,0.005582524603831221,0.005907113375869312
"p,p'-DDE",Apple,0.003714658223078636,0.0038208206013927467
Fipronil-sulfone,Apple,0.0037215204266152144,NaN
Dieldrin (raw),Apple,0.00579718390857503,0.009837316465281335
Flusilazole,Apple,0.003743567816936137,0.004208597210020279
Oxyfluorfen,Apple,0.005782758033688639,NaN
Buprofezin,Apple,0.0037672193020636883,0.004649678432301473
Kresoxim-methyl,Apple,0.002922102146123748,NaN
Fenthion-oxon-sulfone,Apple,0.011225572474531204,NaN
Chlorfenapyr,Apple,0.00717413752351801,0.011578534414323483
Cyproconazole,Apple,0.0029392688865263025,NaN
Endrin,Apple,0.0052899570916734315,NaN
beta-Endosulfan,Apple,0.009324355290705178,NaN
"p,p'-DDD",Apple,0.0037101446084853674,NaN
"o,p'-DDT",Apple,0.0030627373895684065,0.003572211818875182
Benalaxyl,Apple,0.0031840555151896356,0.004041910792823475
Trifloxystrobin (raw),Apple,0.003643990268835122,NaN
Endosulfan sulfate,Apple,0.009389660473601999,0.011763926267385807
Propiconazole,Apple,0.003599777991390798,NaN
"p,p'-DDT",Apple,0.004061889661111886,0.004537434844268995
Tebuconazole,Apple,0.001997084780135188,NaN
Piperonyl butoxide,Apple,0.002402120756120334,0.003442510257174014
Bioresmethrin,Apple,0.004727519400546093,0.004942586628986287
Iprodione,Apple,0.010602536983014504,0.01123850318065072
Phosmet,Apple,0.005048428012443608,0.008887713448358703
Bifenthrin,Apple,0.002692835880510559,0.003329025924417259
Fenoxycarb,Apple,0.003698965320795043,0.004066274682792385
Tebufenpyrad,Apple,0.0029515091646827637,0.0032860238984560785
Tetradifon,Apple,0.004293476779620783,0.004352381707825297
Phenothrin,Apple,0.0031208896777925976,0.0031214387054428507
Azinphos-methyl,Apple,0.00798119496165035,0.011547358828683178
Pyriproxyfen,Apple,0.00363935869983047,0.004048762891597994
Cyhalothrin,Apple,0.003896316738534503,0.004281317585990188
Fenarimol,Apple,0.0026617961473709285,0.0034920948627739498
Azinphos-ethyl,Apple,0.003182805491017437,0.0049157987012029185
Bitertanol,Apple,0.002774642834157731,0.003976347929588512
Permethrin,Apple,0.002877202951721832,0.003916509448284709
Cyfluthrin,Apple,0.003414400642284343,NaN
Cypermethrin,Apple,0.002429085333115235,0.0027501160148688465
Boscalid,Apple,0.0034494575142849835,NaN
Fenvalerate,Apple,0.003996704594919121,0.004433669646084632
Pyraclostrobin,Apple,0.005211158053059632,0.007481270445786143
tau-Fluvalinate,Apple,0.0034208295197473027,NaN
Difenoconazole,Apple,0.0027478077842250175,NaN
Indoxacarb,Apple,0.0038843554755348332,0.0058511970401552175
Deltamethrin,Apple,0.003395888270078553,NaN
Azoxystrobin,Apple,0.003197420090963218,0.0034325349114564534
Dimethomorph,Apple,0.0029242410492785454,0.0035834877359552245
Dichlorvos,Carrot,0.0018191350639664926,0.0023696294092990506
Mevinphos,Carrot,0.001499520029029392,0.0016491677967292138
"3,4 Dichloroaniline",Carrot,0.0019289005010256887,0.004371602782087338
Methacrifos,Carrot,0.002378958021874547,0.0025692334545964657
THP,Carrot,0.003330066017744953,0.00359795066386296
2-Phenylphenol (raw),Carrot,0.0030773202628260844,0.003822375672577588
Diphenylamine,Carrot,0.0019435950979465612,0.0024552061858357207
Phorate-Oxon,Carrot,0.0019863925985453114,0.0022728718086384584
Ethoprophos,Carrot,0.0017018225524419368,NaN
Phorate (raw),Carrot,0.0019313146275208978,0.0020766743101594404
alpha-BHC,Carrot,0.0018963276958792574,0.002230847128685567
Hexachlorobenzene,Carrot,0.002725288101851842,0.003213077550719673
Dicloran,Carrot,0.002092549898894905,0.002147211924244799
Dimethoate (raw),Carrot,0.0034058080643848015,NaN
Simazine,Carrot,0.0034849576982698325,0.0036465933221491655
beta-BHC,Carrot,0.0024886430930216655,0.0025214706593006952
Quintozene,Carrot,0.0034994790995595258,0.005054142572470339
Lindane (gamma-BHC),Carrot,0.016811081898651693,NaN
Terbufos (raw),Carrot,0.0022070392434712684,NaN
Diazinon,Carrot,0.002587380547047167,NaN
Pyrimethanil,Carrot,0.003388957792690089,0.00371879771735234
Chlorothalonil,Carrot,0.005135213941231877,0.011651944540059647
Disulfoton (raw),Carrot,0.003769846108601739,0.0047873743389487
delta-BHC,Carrot,0.003688923144801742,0.004406952222472633
Pirimicarb (raw),Carrot,0.0019082124103921394,NaN
Chlorpyrifos-methyl,Carrot,0.0037461359986838295,NaN
Metribuzin,Carrot,0.0037888914490518746,NaN
Vinclozolin,Carrot,0.0030672517557796463,0.0032517031644028844
Parathion-methyl,Carrot,0.002233476185907488,0.0025274637067850495
Tolclofos-methyl,Carrot,0.0021756630078689876,0.002245335906570182
Fipronyl-desulfonyl,Carrot,0.0024669115065101897,0.0044248802589587025
Heptachlor (raw),Carrot,0.0033495498394536735,0.004408615019998666
Metalaxyl,Carrot,0.003744138911749429,0.003745557913266416
Fenthion-oxon,Carrot,0.0038480821857045217,0.004540289181356198
Pirimiphos-methyl,Carrot,0.004813260618102633,NaN
Fenitrothion,Carrot,0.003451346183185695,0.0035880892343615814
Linuron (raw),Carrot,0.0047075324645467825,NaN
Malathion,Carrot,0.0021331852627184946,0.0027688329769817786
"o,p-Dicofol",Carrot,0.0023198378432656925,0.00385978877501802
Chlorpyrifos,Carrot,0.002976984198922614,0.003476903286343327
Aldrin,Carrot,0.007483593695757051,0.008922306106523328
Fenthion (raw),Carrot,0.0032981127359518227,NaN
Chlorthal-dimethyl,Carrot,0.0036862681692835385,0.004089741022687505
Phorate-sulfoxide,Carrot,0.002339591946513425,NaN
Parathion (ethyl),Carrot,0.003015602285258643,0.0033992305051600866
Triadimefon,Carrot,0.0025979699034145137,0.004994468572984578
Phorate-sulfone,Carrot,0.0030324642920469278,0.004332174360973662
Dicofol (raw),Carrot,0.0021792123959510383,0.0039052022690130644
Pendimethalin,Carrot,0.005306564368480361,0.006648222871334771
Cyprodinil,Carrot,0.0043203282870560335,0.0046753479262288625
Fipronil-sulfide,Carrot,0.0026745876406689436,NaN
Fipronil (raw),Carrot,0.004286064535952441,NaN
Heptachlor-exo-epoxide,Carrot,0.004413552540952252,0.004572041997533587
Heptachlor-endo-epoxide,Carrot,0.05629135708561024,NaN
Captan (raw),Carrot,0.00865037241147124,0.009607163250111125
Procymidone,Carrot,0.0038938626923232253,0.004196875497983975
Trifloxystrobin Metabolite,Carrot,0.009785202709371539,0.013493288404713992
Bromophos-ethyl,Carrot,0.0029393118188198327,NaN
Methidathion,Carrot,0.003530620701758053,0.003626756576516559
Chlordane-trans,Carrot,0.0047444595925560185,0.006459120904360198
Paclobutrazol,Carrot,0.003744630017538979,NaN
Chlordane-cis,Carrot,0.005573820609821974,NaN
alpha-Endosulfan,Carrot,0.014469536691390363,NaN
Fenamiphos (raw),Carrot,0.00686346157284389,NaN
Hexaconazole,Carrot,0.0054813442621892425,0.006982760647373171
Prothiofos,Carrot,0.004761481862173743,0.005295497124531215
Fludioxonil,Carrot,0.0052799633235859405,0.008755283924501788
"p,p'-DDE",Carrot,0.003403239353210131,0.0038470547971461103
Fipronil-sulfone,Carrot,0.004445015042737059,0.004678517048030016
Dieldrin (raw),Carrot,0.01030902332448433,0.013743811965642535
Flusilazole,Carrot,0.00305536192748691,0.00426388384482702
Oxyfluorfen,Carrot,0.008000163688801566,0.0086600109974636
Buprofezin,Carrot,0.004678531515642185,0.005522201633800937
Kresoxim-methyl,Carrot,0.003330844308808772,0.004420254940780747
Fenthion-oxon-sulfone,Carrot,0.01928581566110922,0.028740649553110197
Chlorfenapyr,Carrot,0.010386401671538592,NaN
